,serp_cluster,query
0,bike lanes chicago,bike lanes chicago
1,bike lanes chicago,bike lanes in chicago
2,bike lanes chicago,chicago bike lanes
3,crybaby hill tulsa,cry baby hill tulsa
4,crybaby hill tulsa,crybaby hill tulsa
5,des moines bike lanes,des moines bike lanes
6,lanes mashpee,lanes mashpee
7,lanes mashpee,the lanes mashpee
8,los angeles bike lanes,bike lanes in los angeles
9,los angeles bike lanes,bike lanes los angeles
10,los angeles bike lanes,los angeles bike lanes
11,miami bike lanes,bike lanes miami
12,miami bike lanes,miami beach bike lanes
13,miami bike lanes,miami bike lanes
14,philadelphia bike lanes,bike lanes in philadelphia
15,philadelphia bike lanes,philadelphia bike lanes
16,salt lake city bike lanes,bike paths salt lake city
17,salt lake city bike lanes,salt lake city bike lanes
18,zzz_no_cluster,9th and 9th bike ride
19,zzz_no_cluster,alhambra bike rides
20,zzz_no_cluster,altona bike rides
21,zzz_no_cluster,aspinwall bike rides
22,zzz_no_cluster,atlanta bike lanes
23,zzz_no_cluster,bella villa bike rides
24,zzz_no_cluster,bellemeade bike rides
25,zzz_no_cluster,bellflower bike rides
26,zzz_no_cluster,bike lanes dallas
27,zzz_no_cluster,bike lanes dublin
28,zzz_no_cluster,bike lanes san diego
29,zzz_no_cluster,bike paths appleton wi
30,zzz_no_cluster,critical mass nyc
31,zzz_no_cluster,jersey city bike lanes
32,zzz_no_cluster,lampeter bike rides
33,zzz_no_cluster,ledgeview lanes
34,zzz_no_cluster,malta bike routes
35,zzz_no_cluster,meadowbrook farm bike rides
36,zzz_no_cluster,millbourne bike rides
37,zzz_no_cluster,millbrae bike rides
38,zzz_no_cluster,millwood bike rides
39,zzz_no_cluster,nashville bike lanes
40,zzz_no_cluster,north braddock bike rides
41,zzz_no_cluster,owyhee lanes
42,zzz_no_cluster,phoenix bike lanes
43,zzz_no_cluster,wagner lanes
44,zzz_no_cluster,wesley hills bike rides
